date,lewis_word_count,season
1804-05-21,0,spring
1804-05-22,0,spring
1804-05-23,0,spring
1804-05-24,0,spring
1804-05-25,0,spring
1804-05-26,1304,spring
1804-05-27,0,spring
1804-05-28,0,spring
1804-05-29,120,spring
1804-05-30,0,spring
1804-05-31,0,spring
1804-06-01,57,summer
1804-06-02,127,summer
1804-06-03,0,summer
1804-06-04,0,summer
1804-06-05,0,summer
1804-06-06,38,summer
1804-06-07,0,summer
1804-06-08,0,summer
1804-06-09,38,summer
1804-06-10,37,summer
1804-06-11,0,summer
1804-06-12,23,summer
1804-06-13,65,summer
1804-06-14,0,summer
1804-06-15,32,summer
1804-06-16,0,summer
1804-06-17,0,summer
1804-06-18,0,summer
1804-06-19,0,summer
1804-06-20,78,summer
1804-06-21,0,summer
1804-06-22,0,summer
1804-06-23,0,summer
1804-06-24,29,summer
1804-06-25,0,summer
1804-06-26,30,summer
1804-06-27,128,summer
1804-06-28,0,summer
1804-06-29,66,summer
1804-06-30,36,summer
1804-07-01,42,summer
1804-07-02,0,summer
1804-07-03,0,summer
1804-07-04,44,summer
1804-07-05,0,summer
1804-07-06,0,summer
1804-07-07,0,summer
1804-07-08,0,summer
1804-07-09,0,summer
1804-07-10,0,summer
1804-07-11,77,summer
1804-07-12,147,summer
1804-07-13,0,summer
1804-07-14,0,summer
1804-07-15,291,summer
1804-07-16,108,summer
1804-07-17,191,summer
1804-07-18,0,summer
1804-07-19,46,summer
1804-07-20,0,summer
1804-07-21,419,summer
1804-07-22,129,summer
1804-07-23,58,summer
1804-07-24,27,summer
1804-07-25,39,summer
1804-07-26,37,summer
1804-07-27,0,summer
1804-07-28,0,summer
1804-07-29,0,summer
1804-07-30,71,summer
1804-07-31,28,summer
1804-08-01,91,summer
1804-08-02,381,summer
1804-08-03,0,summer
1804-08-04,77,summer
1804-08-05,875,summer
1804-08-06,0,summer
1804-08-07,0,summer
1804-08-08,893,summer
1804-08-09,0,summer
1804-08-10,0,summer
1804-08-11,56,summer
1804-08-12,57,summer
1804-08-13,144,summer
1804-08-14,102,summer
1804-08-15,59,summer
1804-08-16,0,summer
1804-08-17,0,summer
1804-08-18,58,summer
1804-08-19,0,summer
1804-08-20,0,summer
1804-08-21,43,summer
1804-08-22,0,summer
1804-08-23,0,summer
1804-08-24,35,summer
1804-08-25,86,summer
1804-08-26,161,summer
1804-08-27,99,summer
1804-08-28,83,summer
1804-08-29,0,summer
1804-08-30,52,summer
1804-08-31,43,summer
1804-09-01,0,fall
1804-09-02,0,fall
1804-09-03,0,fall
1804-09-04,0,fall
1804-09-05,161,fall
1804-09-06,0,fall
1804-09-07,0,fall
1804-09-08,135,fall
1804-09-09,48,fall
1804-09-10,27,fall
1804-09-11,0,fall
1804-09-12,0,fall
1804-09-13,157,fall
1804-09-14,69,fall
1804-09-15,0,fall
1804-09-16,570,fall
1804-09-17,1040,fall
1804-09-18,0,fall
1804-09-19,41,fall
1804-09-20,55,fall
1804-09-21,0,fall
1804-09-22,45,fall
1804-09-23,31,fall
1804-09-24,0,fall
1804-09-25,0,fall
1804-09-26,0,fall
1804-09-27,0,fall
1804-09-28,0,fall
1804-09-29,0,fall
1804-09-30,0,fall
1804-10-01,0,fall
1804-10-02,46,fall
1804-10-03,0,fall
1804-10-04,0,fall
1804-10-05,0,fall
1804-10-06,0,fall
1804-10-07,0,fall
1804-10-08,51,fall
1804-10-09,0,fall
1804-10-10,0,fall
1804-10-11,51,fall
1804-10-12,0,fall
1804-10-13,0,fall
1804-10-14,0,fall
1804-10-15,0,fall
1804-10-16,120,fall
1804-10-17,54,fall
1804-10-18,0,fall
1804-10-19,0,fall
1804-10-20,63,fall
1804-10-21,0,fall
1804-10-22,0,fall
1804-10-23,0,fall
1804-10-24,0,fall
1804-10-25,0,fall
1804-10-26,0,fall
1804-10-27,0,fall
1804-10-28,0,fall
1804-10-29,66,fall
1804-10-30,40,fall
1804-10-31,67,fall
1804-11-01,49,fall
1804-11-02,30,fall
1804-11-03,0,fall
1804-11-04,0,fall
1804-11-05,0,fall
1804-11-06,0,fall
1804-11-07,0,fall
1804-11-08,0,fall
1804-11-09,0,fall
1804-11-10,0,fall
1804-11-11,33,fall
1804-11-12,0,fall
1804-11-13,0,fall
1804-11-14,0,fall
1804-11-15,0,fall
1804-11-16,0,fall
1804-11-17,0,fall
1804-11-18,0,fall
1804-11-19,0,fall
1804-11-20,0,fall
1804-11-21,0,fall
1804-11-22,0,fall
1804-11-23,0,fall
1804-11-24,0,fall
1804-11-25,0,fall
1804-11-26,0,fall
1804-11-27,0,fall
1804-11-28,0,fall
1804-11-29,0,fall
1804-11-30,0,fall
1804-12-01,0,winter
1804-12-02,0,winter
1804-12-03,0,winter
1804-12-04,0,winter
1804-12-05,0,winter
1804-12-06,0,winter
